apaan,apa
gua,saya
ya,iya
bener,benar
gk,tidak
berbaiki,perbaiki
gen,generasi
gak,tidak
trus,terus
suport,mendukung
aja,saja
yg,yang
blm,belum
yg,yang
ga,tidak
apk,aplikasi
update,update
screenshoot,screenshot
ngasih,kasih
bgt,sekali
krn,karena
aj,aja
ndak,tidak
ribet,rumit
tgl,tanggal
skrg,sekarang
sebnarnya,sebenar
bereksprimen,bereskperimen
ngak,tidak
g,tidak
nii,ini
gweh,saya
jd,jadi
min,admin
loding,memuat
basi,bisa
gatau,tidak tau
nggak,tidak
sampek,sampai
feature,fitur
n,dan
tp,tapi
code,kode
pilihane,pilihan
kayak,seperti
aplikator,pengaplikasi
lainya,lain
gampang,mudah
opsi,pilihan
gasengaja,tidak sengaja
ulg,ulang
gabisa,tidak bisa
trs,terus
notif,pemberitahuan
klo,kalau
kee,ke
riskan,beresiko
komitment,komitmen
pake,pakai
benahiiiii,berbenah
cri,cari
medsos,media sosial
knp,kenapa
mmau,mau
slalu,selalu
melalu,melalui
mulu,terus
via,melalui
sy,saya
mw,mau
aksed,akses
lemot,lambat
tdk,tidak
pas,setelah
uda,sudah
klu,kalau
ngilangin,hilang
ngga,tidak
tak,tidak
ngawur,sembarangan
gak,tidak
knp,kenapa
gmn,bagaimana
d,di
dgn,dengan
adaaa,ada
lg,lagi
nggk,tidak
ss,screenshot
tfnyaa,transfer
lagii,lagi
it,itu
tsb,tersebut
knpa,kenapa
skrg,sekarang
sistrm,sistem
dlm,dalam
utk,untuk
keslaahan,kesalahan
stelah,setelah
scrensot,screenshot
ngisi,isi
sdh,sudah
pdhl,padahal
paan,apa
ga,tidak
jellek,jelek
bnget,sangat
rek,rekening
nyesel,menyesal
searching,mencari
dg,dengan
ngajukan,aju
lngsung,langsung
deg,dengan
skrg,sekarang
bs,bisa
yaa,iya
keluapaan,lupa
gangguang,gangguan
urgent,mendesak
bertivikasi,verifikasi
bertivikasi,verifikasi
sekrmg,sekarang
rb,ribu
bs,bisa
lg,lagi
bobrok,jelek
applikasi,aplikasi
g,tidak
stlh,setelah
mlh,malah
tlg,tolong
sblm,sebelum
makinnnn,makin
app,aplikasi
aktivitasi,aktivitas
ngisi,isi
balikin,balik
user,pengguna
mastiin,pasti
dannnn,dan
bsa,bisa
ad,ada
store,toko
skn,sekarang
bgtt,sekali
lemotnya,lambat
aktivtasi,aktivitas
masalh,masalah
maintenance,pemeliharaan
bsa,bisa
dlm,dalam
thn,tahun
kesian,kasihan
hapenya,handphone
full,penuh
mo,mau
dipake,pakai
brenti,berhenti
kluar,keluar
aktifasi,aktivasi 
dll,dan lain lain
updatan,update
update,update
buru,mendesak
n,dan
kepaksa,terpaksa
tak,tidak
hrsnya,harus
remindernya,pengingat
msh,masih
ss,screenshot
gimana,bagaimana
daptar,daftar
dkilik,klik
msuk,masuk
ni,ini
guna,berguna
trasfer,transfer
keluar,keluar keluar
ace,aceh
skn,sekarang
gk,tidak
pending,tertunda
sampe,sampai
masalh,masalah
seblumnya,sebelum
amat,sekali
capture,tangkapan
tiba,tiba tiba
mentok,buntu
leluar,keluar
alrm,alarm
hadus,harus
customer,pelanggan
call,panggilan
sekrang,sekarang
sllu,selalu
nontifikasi,pemberitahuan
notifikasi,pemberitahuan
notif,pemberitahuan
bangett,sekali
pokonya,pokok
mmbaik,membaik
gabisa,tidak bisa
pdhl,padahal
luamaaaa,lama
simple,simpel
udh,sudah
kagak,tidak
veryfikasi,verifikasi
tiba,tiba tiba
balik,pulang
ny,nya
ad,ada
lh,lah
pdhl,padahal
bgus,bagus
fersi,versi
vermuk,verifikasi wajah
pejabat,pejabat
kyak,seperti
kdg,kadang
kat,kata
ngk,tidak
org,orang
tllu,terlalu
mangkanya,maka
aliyas,alias
palagi,apalagi
sgl,segala
pening,pusing
nyesel,menyesal
tuk,untuk
system,sistem
dii,di
perlu,perlu
ndk,tidak
dwonload,unduh
download,unduh
jgak,juga
rokomended,rekomendasi
verivikasinya,verifikasi
relogvterus,relog
dtg,datang
wajahh,wajah
responsip,respon
jangn,jangan
updet,update
update,update
sekarng,sekarang
lgi,lagi
mbank,mobile bank
bru,baru
kmrin,kemarin
dftr,daftar
gbsa,tidak bisa
bun,pun
mulu,terus
iniiiiii,ini
dhp,handphone
burik,buruk
diperbaharui,update
srenchot,screenshot
kta,kita
pke,pakai
mginjinkan,izin
lemot,lambat
parahhhhhh,parah
utk,untuk
potoh,foto
tggu,tunggu
scrensot,screenshot
hpus,hapus
payahhhhhh,payah
star,bintang
org,orang
dll,dan lain lain
kwalitasnya,kualitas
kwalitas,kualitas
blagu,sombong
memeberikan,memberikan
vertifaksi,verifikasi
trakhir,terakhir
kpn,kapan
terabdet,update
bukak,buka
cb,coba
k,ke
ank,anak
inj,ini
gimana,bagaimana
padah,padahal
atam,atm
gajelas,tidak jelas
otomatatis,otomatis
kalu,kalau
melulu,terus
urgen,mendesak
urgent,mendesak
mintak,minta
krtik,ketik
stiap,setiap
agak,sedikit
dipke,pakai
bs,bisa
g,tidak
share,bagikan
detek,deteksi
mlah,malah
apliaksi,aplikasi
ny,nya
kyk,seperti
lbih,lebih
contakus,kontak
trim,terima kasih
pakek,pakai
ktanya,kata
slalu,selalu
sndiri,sendiri
brulang,berulang
pdahal,padahal
bruk,buruk
rubet,rumit
pkonya,pokok
tahu,tau
mosok,masa
makasii,terima kasih
sm,sama
bangeett,sekali
skrg,sekarang
muluuuu,terus
mulu,terus
ku,aku
aj,aja
kl,kalau
updateeee,update
slalu,selalu
utk,untuk
dwnload,unduh
tak,tidak
tranfer,transfer
tf,transfer
tfnya,transfer
tfny,transfer
bgni,begini
kenapaa,kenapa
sm,sama
bgtttttt,sekali
bgtttt,sekali
skrg,sekarang
suru,suruh
gaada,tidak ada
custamer,pelanggan
customer,pelanggan
bsa,bisa
kta,kata
hrs,harus
lbh,lebih
verivikasi,verifikasi
pd,pada
n,dan
sekrg,sekarang
mulu,selalu
pdhal,padahal
smpe,sampai
ak,aku
sampe,sampai
ngga,tidak
ad,ada
udaa,sudah
bgmn,bagaimana
hape,handphone
tak,tidak
dlu,dulu
tuk,untuk
gada,tidak ada
ngarep,harap
ga,tidak
terusss,terus
