"content","Layanan","Transaksi","Performa Aplikasi","Keamanan"
"Mohon di pertahankan layanannya, yang awalnya kami merasa kesulitan aktivasi pemotretan wajah, ternyata tadi sudah bisa... Oleh karenanya, jangan di persulit lagi untuk proses aktivasi ini kedepannya, misal gak bisa maksimal metode aktivasi dengan pemotretan wajah & sering gagal, maka kasih pilihan lain juga, seperti aktivasi sidik jari sebagai gantinya... agar tidak membuat kesel ke nasabah 🙏🤝","1","0","0","-1"
"Masa buat transfer gk bisa, di suruh cek saldo padahal saldonya cukup","0","-1","0","0"
"Kenapa aplikasinya tidak bisa dibuka padahal wifinya lancar aja, buka tiktok lancar, ig lancar, malah buka ini ga bisa, TOLONG DIPERBAIKII!","0","0","-1","0"
"Lama banget kalo kirim uang dari e commerce, kalo bukan karena tuntutan tempat kerja udh tutup rekening aja. Tarik cardless juga ga jelas caranya gimana, tau gitu udah biar masing-masing bank punya bagian syari'ah nya aja daripada sekarang jual nama syari'ah doang","-1","-1","0","0"
"Kenapa sudah gak bisa dibuka BSI mobile nya? Padahal kemaren kmaren enak tran saksi lancar. Ketika di buka muncul kehabisan waktu. Ayok solusinya gimna ini?","0","0","-1","0"
"Apaan ni apk..meng aktifkan nya sangat ribet sensor wajah nya usahakan jgn ribet kalilah..capek2 kita sensor tetap ajaa di tolak..waktu nya pun cumaa sdikit..usaahakan jngan di perumitkan untk meng aktifkan nyaaa","-1","0","-1","0"
"Kenapa ya kak habis saat membuat kata sandi menu login,kenapa tulisan nya close overlapping popups?","0","0","-1","0"
"perbaiki lagi BSI mobile. Kadang gk mau bisa masuk ke aplikasi.","0","0","-1","0"
"Aplikasi bank paling jelek dan ga jelas..beli token listrik no token nya ga bisa di screenshoot akhir nya close sendiri dan ilang aja itu token..udah 2 token listrik transaksi nya berhasil tapi di aplikasi ga ketemu lagi..bahkan untuk melihat no token nya aja ga bisa,kapok beli apa2 disini ga recommended","0","-1","-1","0"
"Ini kenapa yaa saya transaksi pembayaran wifi internet di BSI mobile keterangan gagal tetapi saldo berkurang, mohon bantuanya.. Tolong segera berbenah ketika login awal pas verifikasi wajah pun di persulit.. Kalau gini terus tdk ada perbaikan saya yakin bakalan banyak yg ninggalin bsi hanya krna service nya yg kurang bgtu baik","-1","-1","0","0"
"Susah bget aktivasinya,ribet, sering error","0","0","-1","-1"
"Tolong perbaiki aplikasinya.. Sebelum diupdate, masih bisa screen shot. Pas sudah diupdate, kok screenshot gak bisa lagi. mau screenshot informasi saldo juga gk bisa. Semua menu apa saja diaplikasi gk bisa discreenshot lagi. Tolong kembalikan seperti semula.","0","0","-1","0"
"saya bru pertama kli ini nabung dan saya percayakn pd bank bsi tp msh brp bln buka aplikasi bsi mobile slalu g bsa trus diauruh bug padhl sudah di update tp di buka blm jg bsa, akhirnya saya uninstal kembali trus sya buka, mmg bsa di buka tp minta verifikasi lg no hp, norek, nik ktp , gtu verifikasi wajah g bsa2, tolong dong jgn dipersulit , kmi inikn masyarakat awam yg kdng g ngerti, saya cma bsa ksi bintang satu","-1","0","-1","0"
"Login aja gabisa, pass scan muka malah waktu habis, yg bener aja min orang lagi ke Pepet malah dipersulit","-1","0","-1","0"
"Mohon segera diperbaiki, fitur screenshoot setelah update hingga kini tidak dapat digunakan, itu benar-benar sangat menganggu. 🙏🏻","0","0","-1","0"
"Susah banget kalo mau mengaktifkan login .. tolong di permudahkan Saja buat pengguna yang kesusahan tidak tahu BHS inggris .. biar tidak usah ke kantor","-1","0","0","0"
"app baru ribethhhh, gk bisa ss, susah bgt cek mutasi jadinya, coba kyk app banking lain, bisa ss, pas cek mutasi jelas nominal saldo brp setelah mutasi.","0","-1","-1","0"
"Gak bisa buka aplikasi , keterangannua kehabisan waktu , padahal baru di update .","0","0","-1","-1"
"Aman dan lancar menggunakan BSI mobile","0","0","1","1"
"Beli pulsa xl bermasalah. Pas beli lagi akhirnya terbeli 2x.","0","-1","0","0"
"Kebanyakan update, fitur pun tidak ad yg berubah","0","0","-1","0"
"Uda bagus ad fitur tarik tunai tanpa ATM tapi di hilangkan","-1","0","0","0"
"Parah.... Ganti HP instal ulang Susah sekali Vermuknya sampe capek gagal juga","-1","0","0","0"
"Saya sebagai pengguna BSI sangat kecewa, karena selalu muncul notifikasi close overlaping. Sekelas bank nasional kok apk nya setelah di update tambah hancur.","0","0","-1","0"
"Apk yang sangat puas terimakasih buat BSI mobile","1","0","1","0"
"Admin kenapa tarik tunai tanpa kartu ke ATM bsi dihapus, sebelumnya masih ada, Terima kasih admin sudah terima saran saya, akhirnya bisa tarik tunai tanpa kartu melalui ATM bsi","1","0","0","0"
"Aplikasi nya tidak efisien dalam penggunaan nya","0","0","-1","0"
"Mohon direndahkan versi aplikasi bsi mobile nya agar bs dibuka aplikasi nya","0","0","-1","0"
"mau aktivasi tapi ribet verifikasi wajahhh bolak balik sampek dateng ke cs ndk bisa juga aktivasi , barusan nyoba juga ndk bisa semoga kedpn lbh baik lagi bsi, biar customerny gk pada ngilang","-1","0","-1","0"
"Susah masuk ke aplikasi sistemnya ruet Mohon untuk di benahi sehingga semua type hp & seri hp bisa mudah menggunakan nya.","0","0","-1","0"
"lama banget verifikasi data nya, ini gara saya pindah hp gara hp lama rusak, pas di hp baru disuruh verifikasi sampe sekarang belum di selesaikan","-1","0","0","0"
"Saya punya Android TDK dapat discreenshot, baik seluruh maupun sebagian. Pihak kantor cabang pun TDK ada solusi. Tlg diselesaikan...","-1","0","-1","0"
"Terimakasih dengan adanya aplikasi BSI mobile membuat transaksi keuangan menjadi lebih mudah.","0","1","0","0"
"""Permintaan kehabisan waktu"" Ngga ngerti ga bisa dibuka-buka aplikasi nya, udah hapus cache, restart, re install, tetep ky gitu","0","0","-1","0"
"Kenapa jagi gak bisa tarik tunai dari atm sih, suer jg ribet","0","-1","0","0"
"Aktivasi akun di mobile banking terlalu ribet. Sudah berkali-kali dicoba termasuk di kantor BSI, belum bisa juga.","-1","0","0","0"
"Untuk developer BSI Mobile tolong lah UX diperbaiki!! Bener2 ga ramah secara experience. Mau cek saldo aja flownya ribetnya minta ampun. Apalagi pas transaksi TF udah kaya lagi transaksi di teller harus banyak ngisi ini itu. Beda banget sama mbanking2 lain yang UX nya simple & efesien. Terus untuk UI juga banyak fitur2 yang ga penting, penempatan ga sesuai, terlalu banyak teks yang sulit dibaca & dipahami dengan cepat.","0","-1","-1","0"
"Maaf saya kecewa dengan aplikasi ini, sllu pas login atau buka sering muncul hal yang tidk perlu","0","0","-1","0"
"Kenapa si ga bisa screenshoot saldo doang. Kan aku mau pamer min. Tolong dong utk bbrp fitur diizinkan screenshoot 🤣😒😵😥","0","0","-1","0"
"Kenapa harus aktivasi ulang mana ngga bisa² lagi tolong diperbaiki dong","-1","0","0","0"
"Setelah daftar ditetima, kemudian transaksi dan keluar. Ketika masuk aplikasi lagi error'...terpaksa hapus aplikasi dan daftar baru lagi. Verifikasi lagi... Begitu seterusnya.. kadang verivikasi tdk lancar...sangat menyita waktu dan mengganggu kenyamanan.....","-1","0","-1","0"
"Setelah update versi terbaru, ternyata fitur Screenshot sdh tidak bisa, alhasil kesulitan ketika butuh screenshot mutasi","0","0","-1","0"
"Apasi ni apk nya bener bener lelet, gabisa kebuka jaringan bagus scroll Ig bagus. Tapi giliran buka BSI gabisa udah keluar/masuk tetep gabisa Edit : Sekarang malah ditambah tidak bisa screenshot 😭","0","0","-1","0"
"Aplikasi apaan ini ? .... Kalau kagak niat bikin aplikasi kagak usah bikin dah ... Kemeren ane kasih 5 Bintang sekrang 1 aje berat ... di Update malah KAGAK JELAS","0","0","-1","0"
